,Distance,Current
0,-1.2,3.512
1,-1.1,3.321
2,-1.1,4.01
3,-1.0,4.752
4,-1.0,5.208
5,-0.9,6.243
6,-0.9,6.003
7,-0.8,8.394
8,-0.8,8.856
9,-0.7,9.782
10,-0.7,9.984
11,-0.6,10.587
12,-0.6,11.357
13,-0.5,12.519
14,-0.5,12.548
15,-0.5,14.258
16,-0.4,15.29
17,-0.4,16.487
18,-0.3,17.712
19,-0.2,18.146
20,-0.2,19.252
21,-0.2,19.241
22,-0.1,21.665
23,-0.1,21.64
24,0.0,24.126
25,-0.0,24.388
26,0.0,24.317
27,0.0,24.098
28,0.0,24.367
29,0.0,24.169
30,0.0,24.262
31,0.0,23.883
32,0.1,22.425
33,0.1,20.648
34,0.2,19.391
35,0.2,18.604
36,0.2,18.103
37,0.3,18.588
38,0.4,15.54
39,0.5,14.903
40,0.5,14.284
41,0.5,12.755
42,0.6,12.345
43,0.6,11.537
44,0.7,10.509
45,0.7,10.226
46,0.8,10.284
47,0.8,8.461
48,0.8,8.941
49,0.9,6.634
50,0.9,5.421
51,1.0,6.352
52,1.1,4.878
53,1.1,4.008
54,1.2,3.568
55,1.2,2.643
